file name A,file name B,esn type,number datasets,feedback,test/train,loss
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,0.9314760289370645
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.7607158584835503
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.7596899566754289
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.7506590634441324
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.7016824009784471
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.0383880501671876
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.5287052370984004
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.1675910522482333
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.6071923426795384
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.43559478675385865
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.3400084845169107
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.2510339653323257
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.7867366784208412
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.0017656947637903
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.7209802184991891
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.2036592789701877
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.5831540257546987
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.868320969990809
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.8203527970777099
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.1602236377119628
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.6469378084661984
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.2090909320831666
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.7560695569183066
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.4721165185680575
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.2051962673837953
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.1511723857408371
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.5494508269823417
